row,result_file,perplexity,ppl_tolerance,num_samples,weight_effective_ebw,activation_effective_ebw,ebw_tolerance
qwen_bf16,qwen__bf16.json,20.9240,0.0500,146,,,0.000010
qwen_random_same_ratio,qwen__random_same_ratio.json,25.3423,0.0750,146,4.673069,4.994391,0.000010
qwen_static,qwen__static.json,24.5446,0.0750,146,4.673069,4.683127,0.000010
qwen_first2_only,qwen__first2_only.json,24.2756,0.0750,146,4.673069,4.966852,0.000010
qwen_paper,qwen__paper.json,24.2289,0.0750,146,4.673069,4.994211,0.000010
qwen_oracle,qwen__oracle.json,24.3563,0.0750,146,4.673069,4.683410,0.000010
llama_bf16,llama__bf16.json,5.4681,0.0500,166,,,0.000010
llama_random_same_ratio,llama__random_same_ratio.json,5.7730,0.0500,166,4.620366,4.861522,0.000010
llama_static,llama__static.json,5.7687,0.0500,166,4.620366,4.632677,0.000010
llama_first2_only,llama__first2_only.json,5.7570,0.0500,166,4.620366,4.827751,0.000010
llama_paper,llama__paper.json,5.7510,0.0500,166,4.620366,4.863003,0.000010
llama_oracle,llama__oracle.json,5.7565,0.0500,166,4.620366,4.630869,0.000010
